Execution_Rep.csv
Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Reason,Transaction Time
ord1,aa13,Rose,2,0,100,55.00,,20231213-155924.652
ord2,aa14,Rose,2,0,100,45.00,,20231213-155924.652
ord3,aa15,Rose,1,3,100,45.00,,20231213-155924.653
ord2,aa14,Rose,2,2,100,45.00,,20231213-155924.653
Execution_Rep.csv
Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Reason,Transaction Time
ord1,aa13,Rose,2,0,100,55.00,,20231217-102135.984
ord2,aa14,Rose,2,0,100,45.00,,20231217-102135.984
ord3,aa15,Rose,1,3,100,45.00,,20231217-102135.984
ord2,aa14,Rose,2,2,100,45.00,,20231217-102135.984
